age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
51,medium,Medium,3BHK-Apt,Rented,High,20-30yrs,1,2-5yrs,3.291590987,0,8,5,SD,Fixed,Fixed,No
29,medium,Medium,3BHK-Apt,Rented,Medium,>30yrs,2,2-5yrs,2.008981029,0,10,5,SD,Fixed,Fixed,No
34,medium,Large,Mansion,Rented,Low,10-20yrs,5,>5yrs,3.152188163,4,3,2,PPM,Fixed,Fixed,No
51,low,Small,2BHK-Apt,Owned,Low,20-30yrs,4,>10yrs,14.89488277,1,10,0,SD,Fixed,Fixed,Yes
42,High,Small,2BHK-Apt,Rented,Medium,<10yrs,2,1-2yrs,7.352375455,1,3,0,DD,Fixed,Fixed,Yes
45,low,Medium,Mansion,Rented,Medium,10-20yrs,2,>5yrs,4.535348049,0,7,4,DD,Fixed,Fixed,No
45,High,Medium,3BHK-Apt,Owned,Medium,20-30yrs,8,1-2yrs,6.097143942,0,2,1,PPM,Variable,Variable,No
42,medium,Small,2BHK-Apt,Rented,Medium,20-30yrs,8,2-5yrs,12.14502069,1,7,1,PPM,Fixed,Fixed,No
42,low,Medium,Mansion,Owned,Low,20-30yrs,1,2-5yrs,1.568320364,3,7,5,PPM,Variable,Variable,No
51,High,Small,2BHK-Apt,Rented,Low,20-30yrs,2,<1yr,0.939362664,0,1,0,Others,Variable,Variable,No
39,medium,Small,3BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,5.534365469,1,2,1,PPM,Variable,Variable,Yes
34,medium,Large,5BHK-House,Owned,Low,10-20yrs,6,1-2yrs,7.314970585,4,3,2,PPM,Variable,Variable,No
33,medium,Large,5BHK-House,Owned,Medium,20-30yrs,8,<1yr,4.248303827,3,9,4,SD,Fixed,Fixed,No
40,medium,Medium,Mansion,Owned,Medium,20-30yrs,5,2-5yrs,5.449103904,1,1,0,PPM,Variable,Variable,Yes
31,medium,Medium,5BHK-House,Rented,Low,20-30yrs,5,1-2yrs,5.553179049,1,10,9,PPM,Variable,Variable,No
39,low,Small,2BHK-Apt,Owned,High,<10yrs,2,>10yrs,5.998687271,2,6,3,DD,Fixed,Fixed,Yes
67,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,2,<1yr,7.291800877,4,6,1,PPM,Variable,Variable,Yes
39,medium,Large,3BHK-Apt,Owned,Low,>30yrs,4,<1yr,3.467582344,1,2,1,Others,Fixed,Fixed,No
56,High,Small,3BHK-Apt,Rented,High,10-20yrs,8,2-5yrs,2.190831053,3,7,0,SD,Variable,Variable,No
42,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,3,<1yr,1.651962601,0,1,0,DD,Fixed,Fixed,No
37,medium,Medium,2BHK-Apt,Rented,Medium,10-20yrs,1,1-2yrs,0.798089067,1,0,0,DD,Variable,Variable,No
56,High,Medium,2BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,5.229608572,4,4,2,SD,Variable,Variable,No
29,medium,Medium,3BHK-Apt,Owned,High,<10yrs,5,<1yr,2.24466021,1,8,1,Others,Fixed,Fixed,No
36,High,Large,2BHK-Apt,Owned,High,20-30yrs,1,1-2yrs,3.786900622,2,0,1,PPM,Fixed,Fixed,No
36,medium,Small,1BHK-Apt,Owned,Medium,20-30yrs,4,2-5yrs,6.720310162,2,4,3,PPM,Variable,Variable,Yes
51,High,Small,Mansion,Rented,Low,20-30yrs,2,<1yr,6.664046156,2,5,4,Others,Fixed,Fixed,No
31,medium,Medium,2BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,5.432317943,4,3,0,SD,Variable,Variable,No
46,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,5,>5yrs,4.355333151,0,0,0,DD,Fixed,Fixed,No
29,low,Large,1BHK-Apt,Rented,Medium,10-20yrs,9,<1yr,3.593290857,0,10,2,PPM,Fixed,Fixed,No
39,medium,Medium,3BHK-Apt,Owned,High,<10yrs,1,1-2yrs,2.68485616,0,7,2,SD,Variable,Variable,No
32,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,3,>10yrs,0.658382105,3,9,0,Others,Variable,Variable,Yes
24,low,Medium,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,1.243754761,3,10,1,Others,Fixed,Fixed,No
41,medium,Large,2BHK-Apt,Owned,Low,10-20yrs,1,>5yrs,5.704580111,3,8,5,Others,Fixed,Fixed,No
54,low,Medium,Mansion,Owned,High,20-30yrs,5,2-5yrs,2.330394931,4,3,0,PPM,Variable,Variable,No
33,medium,Medium,1BHK-Apt,Owned,Medium,20-30yrs,6,2-5yrs,8.072644882,2,2,0,SD,Variable,Variable,No
38,High,Large,2BHK-Apt,Rented,Medium,10-20yrs,1,<1yr,3.385304855,1,2,0,PPM,Fixed,Fixed,No
39,High,Small,3BHK-Apt,Rented,Medium,10-20yrs,3,2-5yrs,3.381244408,1,7,6,SD,Fixed,Fixed,No
34,High,Large,5BHK-House,Owned,Low,20-30yrs,5,2-5yrs,3.79702003,0,4,2,DD,Variable,Variable,No
51,medium,Large,2BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,1.136344352,3,8,7,DD,Variable,Variable,No
30,medium,Small,2BHK-Apt,Rented,High,20-30yrs,3,2-5yrs,2.470384534,2,8,0,PPM,Variable,Variable,No
38,medium,Medium,2BHK-Apt,Rented,High,<10yrs,10,<1yr,5.052432521,4,5,2,SD,Variable,Variable,No
32,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,1,<1yr,3.05414162,3,7,4,DD,Fixed,Fixed,Yes
37,High,Small,2BHK-Apt,Rented,Medium,>30yrs,2,>5yrs,7.628997925,1,3,1,PPM,Fixed,Fixed,No
39,High,Large,Mansion,Owned,Low,<10yrs,1,2-5yrs,3.266144065,3,6,3,Others,Fixed,Fixed,No
40,medium,Medium,3BHK-Apt,Owned,High,20-30yrs,7,2-5yrs,3.209517009,0,6,5,DD,Variable,Variable,No
34,medium,Medium,Mansion,Owned,Low,20-30yrs,2,<1yr,4.910326734,1,2,1,DD,Variable,Variable,No
44,High,Large,1BHK-Apt,Owned,Low,20-30yrs,5,2-5yrs,6.093426524,3,7,4,PPM,Fixed,Fixed,No
33,High,Small,3BHK-Apt,Owned,Medium,>30yrs,1,2-5yrs,4.613322234,3,7,4,PPM,Variable,Variable,No
47,low,Medium,Mansion,Owned,Low,20-30yrs,2,2-5yrs,11.09798301,3,8,0,PPM,Variable,Variable,No
42,low,Small,3BHK-Apt,Owned,Low,20-30yrs,5,>5yrs,5.948781882,1,2,0,DD,Fixed,Fixed,No
46,medium,Medium,2BHK-Apt,Rented,Low,10-20yrs,2,2-5yrs,1.78378907,1,3,0,Others,Variable,Variable,No
39,low,Small,1BHK-Apt,Owned,High,20-30yrs,7,2-5yrs,3.554797841,1,9,0,SD,Fixed,Fixed,No
38,low,Small,Mansion,Owned,Medium,<10yrs,5,2-5yrs,6.055960265,0,9,5,SD,Variable,Variable,No
52,medium,Medium,2BHK-Apt,Owned,Medium,>30yrs,2,1-2yrs,6.794197905,1,3,0,PPM,Variable,Variable,No
46,High,Medium,2BHK-Apt,Owned,High,>30yrs,1,>5yrs,6.727478687,1,5,0,SD,Variable,Variable,No
34,medium,Medium,Mansion,Rented,High,20-30yrs,8,>5yrs,5.725181663,0,7,1,SD,Variable,Variable,No
41,medium,Large,3BHK-Apt,Owned,High,<10yrs,1,2-5yrs,8.256731838,3,8,2,PPM,Fixed,Fixed,No
41,medium,Large,5BHK-House,Owned,Medium,<10yrs,4,>5yrs,5.637140669,1,3,2,SD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Rented,Low,20-30yrs,1,2-5yrs,8.068683496,3,10,2,SD,Variable,Variable,No
47,High,Small,2BHK-Apt,Rented,High,10-20yrs,6,2-5yrs,8.019121459,0,2,1,PPM,Variable,Variable,No
43,High,Medium,1BHK-Apt,Rented,High,20-30yrs,1,<1yr,2.610538164,1,1,0,SD,Variable,Variable,Yes
38,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,4,>5yrs,3.518029901,2,10,7,Others,Fixed,Fixed,No
52,medium,Medium,Mansion,Rented,Low,10-20yrs,4,<1yr,1.345732276,4,8,4,PPM,Variable,Variable,Yes
51,low,Small,2BHK-Apt,Owned,Medium,20-30yrs,5,1-2yrs,5.253514972,1,1,0,PPM,Variable,Variable,No
52,low,Medium,Mansion,Rented,Medium,20-30yrs,7,1-2yrs,3.039132615,0,3,1,Others,Variable,Variable,No
49,High,Medium,2BHK-Apt,Owned,Low,10-20yrs,7,1-2yrs,1.692592832,1,2,0,PPM,Variable,Variable,No
33,medium,Medium,5BHK-House,Owned,High,10-20yrs,8,1-2yrs,8.050703881,1,7,6,Others,Variable,Variable,No
50,High,Medium,3BHK-Apt,Rented,Low,>30yrs,1,2-5yrs,2.149024119,4,10,6,SD,Variable,Variable,No
40,low,Small,3BHK-Apt,Rented,High,<10yrs,7,2-5yrs,3.680676396,3,10,0,PPM,Fixed,Fixed,No
52,medium,Small,2BHK-Apt,Owned,Low,10-20yrs,2,<1yr,3.680354006,2,5,2,SD,Fixed,Fixed,No
32,low,Small,3BHK-Apt,Rented,Medium,20-30yrs,1,1-2yrs,2.763214478,1,3,0,Others,Variable,Variable,No
50,low,Small,2BHK-Apt,Rented,Low,20-30yrs,4,>5yrs,0.308434689,0,2,1,PPM,Fixed,Fixed,No
43,low,Small,2BHK-Apt,Owned,Medium,10-20yrs,7,1-2yrs,3.956028505,2,10,5,SD,Fixed,Fixed,No
40,medium,Large,3BHK-Apt,Rented,High,20-30yrs,1,2-5yrs,2.266550768,2,5,0,PPM,Fixed,Fixed,Yes
44,low,Medium,2BHK-Apt,Rented,Low,>30yrs,1,1-2yrs,6.72411736,1,0,1,SD,Variable,Variable,No
47,medium,Small,1BHK-Apt,Rented,Medium,>30yrs,2,2-5yrs,1.867922235,1,9,3,DD,Variable,Variable,No
30,High,Small,5BHK-House,Rented,Low,>30yrs,3,<1yr,2.673847271,1,10,7,PPM,Fixed,Fixed,No
38,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,8,2-5yrs,5.584281761,4,8,5,Others,Fixed,Fixed,Yes
43,medium,Medium,Mansion,Owned,Low,20-30yrs,3,1-2yrs,2.807178989,0,4,0,SD,Fixed,Fixed,Yes
45,High,Small,Mansion,Owned,Medium,>30yrs,4,1-2yrs,1.91689599,1,1,0,DD,Variable,Variable,Yes
35,High,Medium,3BHK-Apt,Rented,Medium,10-20yrs,5,<1yr,8.643878831,0,1,0,DD,Variable,Variable,No
33,medium,Medium,3BHK-Apt,Owned,Medium,20-30yrs,1,2-5yrs,2.776023104,2,6,4,Others,Variable,Variable,No
39,medium,Medium,3BHK-Apt,Owned,High,<10yrs,6,2-5yrs,2.929950535,4,5,1,PPM,Variable,Variable,No
53,medium,Small,Mansion,Owned,High,<10yrs,5,>5yrs,6.205815893,1,9,2,PPM,Variable,Variable,Yes
40,medium,Medium,5BHK-House,Owned,Medium,10-20yrs,1,1-2yrs,5.080486733,3,6,2,PPM,Variable,Variable,No
51,low,Medium,3BHK-Apt,Owned,Medium,>30yrs,6,<1yr,2.487727101,3,4,0,SD,Fixed,Fixed,No
39,medium,Medium,1BHK-Apt,Rented,High,10-20yrs,4,<1yr,4.038629127,0,8,7,DD,Variable,Variable,No
42,low,Medium,2BHK-Apt,Owned,Low,>30yrs,2,2-5yrs,11.24129064,1,5,0,SD,Variable,Variable,No
35,low,Small,1BHK-Apt,Owned,Medium,10-20yrs,2,<1yr,2.514158546,2,9,2,SD,Fixed,Fixed,No
40,medium,Small,Mansion,Owned,Medium,>30yrs,1,>10yrs,3.066025302,1,1,0,PPM,Variable,Variable,No
37,High,Medium,5BHK-House,Owned,Low,20-30yrs,2,1-2yrs,2.408397916,0,4,1,Others,Fixed,Fixed,Yes
34,medium,Medium,5BHK-House,Rented,High,20-30yrs,6,<1yr,6.003627258,3,5,2,PPM,Fixed,Fixed,No
25,low,Medium,2BHK-Apt,Owned,Medium,>30yrs,2,1-2yrs,5.551856431,4,1,0,DD,Variable,Variable,No
32,High,Medium,1BHK-Apt,Owned,Medium,20-30yrs,2,1-2yrs,7.036142295,2,5,3,DD,Variable,Variable,No
31,medium,Medium,2BHK-Apt,Owned,High,10-20yrs,3,2-5yrs,0.292920301,3,2,1,PPM,Fixed,Fixed,No
32,medium,Small,1BHK-Apt,Rented,Low,20-30yrs,2,1-2yrs,7.822370166,1,4,3,PPM,Fixed,Fixed,No
46,High,Small,3BHK-Apt,Rented,Medium,20-30yrs,4,1-2yrs,9.117768935,1,8,3,PPM,Variable,Variable,No
36,High,Large,2BHK-Apt,Owned,High,10-20yrs,2,2-5yrs,3.700109001,3,10,8,SD,Variable,Variable,Yes
31,medium,Small,3BHK-Apt,Rented,Low,10-20yrs,1,>5yrs,0.514415918,3,2,0,PPM,Variable,Variable,No
45,High,Medium,Mansion,Owned,Low,10-20yrs,1,2-5yrs,4.966709297,1,0,0,Others,Fixed,Fixed,No
42,High,Medium,2BHK-Apt,Owned,Low,10-20yrs,1,>10yrs,2.809173488,1,4,1,DD,Variable,Variable,No
42,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,1,<1yr,4.121926309,4,5,4,DD,Variable,Variable,Yes
34,low,Medium,1BHK-Apt,Owned,Medium,20-30yrs,5,1-2yrs,7.484557855,0,5,3,Others,Variable,Variable,Yes
34,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,3.328728021,4,2,1,PPM,Variable,Variable,No
36,High,Large,3BHK-Apt,Owned,High,20-30yrs,3,<1yr,2.617808405,1,7,0,DD,Fixed,Fixed,No
24,low,Small,2BHK-Apt,Rented,Low,20-30yrs,6,<1yr,5.863161464,2,10,4,DD,Variable,Variable,No
31,medium,Small,2BHK-Apt,Owned,Low,<10yrs,7,<1yr,3.625278095,1,10,0,PPM,Variable,Variable,No
43,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,4,<1yr,4.738058709,4,8,0,DD,Variable,Variable,No
53,High,Medium,2BHK-Apt,Rented,Low,20-30yrs,1,>5yrs,4.439617054,2,4,3,Others,Fixed,Fixed,No
29,High,Medium,3BHK-Apt,Owned,High,<10yrs,4,1-2yrs,23.84292504,4,7,1,PPM,Fixed,Fixed,No
34,High,Small,1BHK-Apt,Owned,Medium,10-20yrs,2,1-2yrs,3.263860246,0,1,0,Others,Fixed,Fixed,No
37,High,Large,5BHK-House,Owned,Low,>30yrs,6,>5yrs,3.922060337,3,3,1,SD,Fixed,Fixed,No
47,low,Medium,5BHK-House,Rented,Low,20-30yrs,1,1-2yrs,8.076349063,4,5,1,DD,Variable,Variable,No
34,low,Medium,5BHK-House,Owned,Medium,<10yrs,4,>5yrs,3.020033468,2,2,1,PPM,Variable,Variable,Yes
49,medium,Large,5BHK-House,Owned,High,20-30yrs,7,1-2yrs,0.871640115,2,10,9,SD,Fixed,Fixed,Yes
40,medium,Medium,Mansion,Rented,High,20-30yrs,5,>5yrs,2.066774341,0,4,1,Others,Variable,Variable,No
43,medium,Medium,Mansion,Owned,High,10-20yrs,1,<1yr,5.064743914,3,8,4,PPM,Fixed,Fixed,No
30,High,Small,5BHK-House,Owned,Medium,20-30yrs,3,2-5yrs,2.600904138,0,9,8,DD,Fixed,Fixed,No
25,High,Large,3BHK-Apt,Rented,Medium,<10yrs,2,>10yrs,2.172603661,0,1,0,SD,Variable,Variable,No
45,High,Large,3BHK-Apt,Owned,Medium,20-30yrs,1,2-5yrs,3.500695305,0,7,0,SD,Variable,Variable,No
29,High,Small,5BHK-House,Owned,Low,10-20yrs,2,<1yr,6.182275574,1,8,0,PPM,Variable,Variable,No
42,High,Large,2BHK-Apt,Rented,Medium,20-30yrs,7,2-5yrs,2.200561438,3,3,0,DD,Fixed,Fixed,No
38,medium,Large,2BHK-Apt,Rented,Low,10-20yrs,2,2-5yrs,13.4130046,0,2,0,PPM,Fixed,Fixed,No
37,low,Small,1BHK-Apt,Rented,Medium,>30yrs,7,1-2yrs,6.549244662,3,2,1,SD,Variable,Variable,No
46,High,Medium,3BHK-Apt,Rented,Medium,10-20yrs,4,2-5yrs,3.553647092,1,1,0,DD,Fixed,Fixed,No
51,low,Medium,2BHK-Apt,Owned,High,10-20yrs,2,2-5yrs,5.096129883,1,8,7,Others,Variable,Variable,No
35,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,1-2yrs,5.735610046,0,4,2,PPM,Variable,Variable,No
26,High,Large,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,1.100199202,1,8,6,SD,Variable,Variable,No
46,medium,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,<1yr,6.626297127,3,0,1,DD,Fixed,Fixed,No
35,High,Small,1BHK-Apt,Owned,Medium,10-20yrs,3,2-5yrs,9.311228008,2,2,0,DD,Variable,Variable,No
37,medium,Small,5BHK-House,Owned,Low,<10yrs,2,2-5yrs,2.251428745,0,2,1,SD,Variable,Variable,No
37,medium,Large,2BHK-Apt,Rented,Medium,10-20yrs,8,1-2yrs,5.835589885,0,5,2,DD,Variable,Variable,No
45,low,Small,3BHK-Apt,Rented,High,20-30yrs,2,<1yr,1.465565383,1,8,0,Others,Fixed,Fixed,No
51,High,Small,Mansion,Rented,Low,<10yrs,2,<1yr,2.568284866,2,1,0,Others,Fixed,Fixed,No
46,medium,Medium,5BHK-House,Rented,Medium,10-20yrs,6,2-5yrs,1.885995537,2,8,5,PPM,Variable,Variable,No
41,medium,Small,5BHK-House,Owned,Medium,10-20yrs,1,2-5yrs,7.546793872,1,7,4,SD,Variable,Variable,Yes
40,low,Small,3BHK-Apt,Rented,Medium,10-20yrs,1,<1yr,0.897921541,0,5,1,SD,Variable,Variable,Yes
37,low,Small,3BHK-Apt,Owned,Medium,20-30yrs,8,<1yr,4.677762852,1,10,5,DD,Fixed,Fixed,Yes
42,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,4,>5yrs,3.629431908,3,1,0,Others,Variable,Variable,No
37,low,Medium,1BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,0.505464177,0,5,4,PPM,Variable,Variable,Yes
62,medium,Large,Mansion,Owned,Low,>30yrs,3,<1yr,8.521426369,1,10,3,PPM,Fixed,Fixed,Yes
50,High,Medium,2BHK-Apt,Rented,High,10-20yrs,2,>10yrs,1.022646237,0,1,0,PPM,Variable,Variable,Yes
32,medium,Small,5BHK-House,Owned,Low,20-30yrs,3,>5yrs,4.965784379,3,9,8,PPM,Variable,Variable,No
37,medium,Medium,3BHK-Apt,Owned,High,>30yrs,3,1-2yrs,5.148833214,4,4,1,DD,Variable,Variable,No
40,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,5,2-5yrs,4.804153611,2,3,2,Others,Variable,Variable,No
34,low,Medium,Mansion,Owned,Low,10-20yrs,4,1-2yrs,0.737111878,1,3,1,PPM,Variable,Variable,No
42,High,Large,2BHK-Apt,Owned,Medium,<10yrs,6,2-5yrs,2.660271609,1,0,0,Others,Fixed,Fixed,Yes
71,medium,Medium,3BHK-Apt,Owned,Medium,<10yrs,2,>5yrs,1.17912674,0,4,2,PPM,Variable,Variable,No
43,High,Medium,Mansion,Rented,Medium,>30yrs,1,1-2yrs,6.802113191,4,7,6,DD,Variable,Variable,No
34,medium,Large,1BHK-Apt,Rented,High,<10yrs,1,2-5yrs,3.040437026,0,2,0,PPM,Fixed,Fixed,No
38,medium,Small,3BHK-Apt,Owned,Low,<10yrs,4,<1yr,8.038325826,3,3,0,PPM,Variable,Variable,No
36,medium,Large,3BHK-Apt,Owned,High,20-30yrs,3,>5yrs,5.746053007,1,5,1,SD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Medium,20-30yrs,8,<1yr,2.230764564,2,1,0,DD,Fixed,Fixed,Yes
52,low,Medium,5BHK-House,Owned,Low,20-30yrs,5,1-2yrs,2.83715269,1,9,6,Others,Variable,Variable,No
37,medium,Small,2BHK-Apt,Owned,Medium,<10yrs,2,1-2yrs,3.737263302,1,1,0,SD,Fixed,Fixed,No
39,low,Medium,2BHK-Apt,Rented,Medium,20-30yrs,5,>5yrs,6.694867486,4,5,2,SD,Variable,Variable,No
42,High,Medium,2BHK-Apt,Rented,Low,<10yrs,4,2-5yrs,1.662827769,2,3,1,Others,Fixed,Fixed,No
25,medium,Medium,5BHK-House,Rented,High,20-30yrs,6,2-5yrs,5.142503116,2,6,1,DD,Variable,Variable,No
60,medium,Medium,2BHK-Apt,Owned,High,20-30yrs,1,1-2yrs,4.633420241,0,0,0,PPM,Fixed,Fixed,No
43,medium,Medium,3BHK-Apt,Rented,High,>30yrs,2,1-2yrs,1.950421253,1,8,1,DD,Variable,Variable,No
33,medium,Large,3BHK-Apt,Rented,Low,20-30yrs,2,<1yr,5.58915033,1,5,1,PPM,Fixed,Fixed,No
46,low,Small,1BHK-Apt,Owned,Low,20-30yrs,3,>5yrs,6.365698778,1,8,6,DD,Variable,Variable,No
31,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,4.913255163,1,8,5,DD,Fixed,Fixed,Yes
37,medium,Large,1BHK-Apt,Owned,Medium,10-20yrs,3,<1yr,1.769110473,0,4,1,Others,Fixed,Fixed,No
34,low,Medium,5BHK-House,Owned,Medium,<10yrs,6,2-5yrs,7.431743192,3,1,0,DD,Variable,Variable,Yes
52,medium,Medium,3BHK-Apt,Rented,High,20-30yrs,3,2-5yrs,1.118742889,0,10,7,SD,Fixed,Fixed,No
43,low,Large,1BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,1.350664311,2,2,0,PPM,Variable,Variable,No
38,High,Medium,3BHK-Apt,Owned,Medium,10-20yrs,2,1-2yrs,1.651959129,4,8,3,PPM,Variable,Variable,Yes
40,High,Medium,Mansion,Rented,High,20-30yrs,1,<1yr,3.201279326,0,8,6,PPM,Fixed,Fixed,Yes
24,medium,Small,5BHK-House,Rented,High,20-30yrs,6,>10yrs,7.938510196,0,4,3,PPM,Variable,Variable,No
31,low,Medium,2BHK-Apt,Owned,Low,20-30yrs,6,2-5yrs,4.867337699,4,8,7,SD,Variable,Variable,Yes
47,medium,Medium,1BHK-Apt,Owned,High,>30yrs,8,<1yr,0.524495982,3,2,0,PPM,Variable,Variable,No
38,medium,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,>10yrs,2.905190141,0,5,0,SD,Variable,Variable,No
29,medium,Medium,2BHK-Apt,Rented,Medium,10-20yrs,1,2-5yrs,7.097151254,0,3,2,PPM,Variable,Variable,No
38,low,Large,3BHK-Apt,Owned,Medium,20-30yrs,1,>5yrs,1.523469171,4,0,0,PPM,Fixed,Fixed,No
33,High,Medium,2BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,2.971214777,2,6,0,PPM,Variable,Variable,No
36,medium,Large,1BHK-Apt,Owned,High,>30yrs,6,>10yrs,4.781915727,0,3,0,PPM,Variable,Variable,No
29,low,Medium,3BHK-Apt,Rented,Low,<10yrs,8,>5yrs,1.988144001,3,4,3,DD,Fixed,Fixed,No
33,High,Small,2BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,5.924228718,1,6,5,Others,Variable,Variable,Yes
30,medium,Small,3BHK-Apt,Owned,Low,<10yrs,1,1-2yrs,3.454734211,1,6,1,Others,Variable,Variable,No
39,High,Medium,1BHK-Apt,Owned,Medium,20-30yrs,4,1-2yrs,2.850003809,1,0,1,SD,Variable,Variable,No
28,medium,Medium,3BHK-Apt,Owned,Low,10-20yrs,1,2-5yrs,5.281386888,0,7,6,PPM,Fixed,Fixed,No
